     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.1468e+03  8.5770e+01  1.0712e+02  2.0699e+01  8.3464e+01  1.2975e+02  4.2196e+01  9.9373e+00  5.5635e+00  1.6293e+01  6.0280e+01  2.6001e+02  2.2595e+01  4.7417e+01  2.0210e+01  1.3182e+01
   MEX  5.2559e+01  2.7828e+02  2.3921e+00  4.5735e-01  3.6978e+00  7.5746e+00  2.3680e+00  4.5414e-01  2.0470e-01  1.7197e+00  3.1978e+00  1.3545e+01  1.1848e+00  1.4528e+00  6.8138e-01  3.9412e-01
   CAN  1.4511e+02  4.2900e+00  3.1596e+02  1.8850e+00  7.8514e+00  1.3301e+01  3.9716e+00  1.1661e+00  6.8138e-01  1.6000e+00  4.5616e+00  3.1194e+01  3.0901e+00  4.5795e+00  1.9227e+00  1.4449e+00
   OCN  1.7458e+01  8.0548e-01  1.7488e+00  2.6896e+02  1.8713e+01  1.8379e+01  8.1607e+00  7.4724e+00  8.7653e-01  7.7132e-01  1.4622e+00  2.5198e+01  2.0464e+00  5.7238e+00  2.1624e+00  1.0627e+00
   JAP  4.8319e+01  2.8630e+00  3.6941e+00  6.3802e+00  1.0005e+03  5.4185e+01  1.6164e+01  2.2967e+00  1.2007e+00  2.3102e+00  3.6278e+00  4.1534e+01  3.9261e+00  1.4908e+01  3.1614e+00  2.7458e+00
   EAA  5.1627e+02  2.9391e+01  4.4093e+01  5.4895e+01  3.2977e+02  3.8634e+03  1.7046e+02  3.0869e+01  1.5510e+01  2.6287e+01  4.8958e+01  5.1164e+02  5.3116e+01  1.2970e+02  3.9757e+01  4.1146e+01
   SEA  7.5826e+01  4.5654e+00  6.4555e+00  2.5085e+01  5.3903e+01  8.0418e+01  5.2753e+02  7.9774e+00  6.4462e+00  3.1672e+00  6.5310e+00  1.0668e+02  1.1517e+01  2.4364e+01  7.3482e+00  6.4318e+00
   IND  3.8771e+01  1.7894e+00  3.2477e+00  7.3614e+00  1.1426e+01  2.4112e+01  1.7253e+01  9.3643e+02  1.1970e+01  3.0966e+00  3.7686e+00  6.2601e+01  5.4480e+00  4.1267e+01  1.7546e+01  4.0199e+00
   SOA  3.7857e+00  1.4830e-01  3.4095e-01  4.9521e-01  1.4103e+00  3.0070e+00  1.8414e+00  1.9738e+00  1.0277e+02  2.2872e-01  2.9610e-01  6.7017e+00  5.7432e-01  2.8475e+00  4.8119e-01  4.4118e-01
   BRA  3.2547e+01  2.6886e+00  2.0390e+00  9.9877e-01  4.9349e+00  8.7466e+00  2.8771e+00  1.0012e+00  4.2559e-01  2.4131e+02  1.3359e+01  2.6131e+01  2.9221e+00  5.7902e+00  4.2074e+00  1.7205e+00
