     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   LAB  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   CAP  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   NAT  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   AGF  2.5955e+02  3.2830e+01  3.7883e+01  3.6856e+01  7.6463e+01  6.2279e+02  6.9779e+01  1.9623e+02  2.8731e+01  6.0240e+01  7.5272e+01  2.2065e+02  1.5193e+02  1.3488e+02  5.6266e+01  1.8714e+02
   OIL  4.3793e+01  2.9915e+01  2.1868e+01  5.5292e+00  2.2385e-02  9.3304e+01  1.2018e+01  4.7165e+00  4.4336e-01  1.2315e+01  3.1812e+01  2.0509e+01  4.8405e+00  1.2598e+02  2.0892e+01  1.3039e+02
   GAS  1.0816e+02  2.5281e+01  4.2022e+01  9.4354e+00  1.5705e-01  9.4170e+01  1.8452e+01  6.3170e+00  1.3792e+00  8.1934e+00  2.9343e+01  3.5989e+01  1.4932e+01  5.9638e+01  2.5577e+01  1.1428e+02
   COL  2.5779e+01  1.8804e-03  1.5763e+00  8.4776e+00  7.1707e-03  1.8531e+02  2.6184e+00  3.9306e+00  4.8907e-02  4.3720e-02  1.2518e+00  4.7641e+00  1.7035e+01  7.1641e-01  1.1220e+01  2.4088e+01
   PTL  3.5249e+03  3.0870e+02  3.7460e+02  1.7219e+02  1.0328e+03  2.9530e+03  6.7744e+02  5.5441e+02  5.5173e+01  3.8106e+02  6.1377e+02  2.9605e+03  7.3984e+02  1.6206e+03  2.4697e+02  1.0279e+03
   MAN  2.3071e+03  2.2726e+02  2.5157e+02  1.5660e+02  8.4387e+02  4.3682e+03  6.5017e+02  5.4109e+02  6.9138e+01  1.7751e+02  2.3267e+02  2.3319e+03  6.5743e+02  4.8930e+02  2.2222e+02  4.1068e+02
   CHM  9.7689e+02  6.9350e+01  8.7336e+01  3.1860e+01  4.3247e+02  1.8656e+03  2.0629e+02  2.2707e+02  1.1647e+01  8.9276e+01  9.5946e+01  8.5384e+02  2.0497e+02  2.3880e+02  7.8285e+01  1.9364e+02
