       0                LAB         CAP
    CON1    USA  1.0000e+00  1.0000e+00
    CON1    MEX  1.0000e+00  1.0000e+00
    CON1    CAN  1.0000e+00  1.0000e+00
    CON1    OCN  1.0000e+00  1.0000e+00
    CON1    JAP  1.0000e+00  1.0000e+00
    CON1    EAA  1.0000e+00  1.0000e+00
    CON1    SEA  1.0000e+00  1.0000e+00
    CON1    IND  1.0000e+00  1.0000e+00
    CON1    SOA  1.0000e+00  1.0000e+00
    CON1    BRA  1.0000e+00  1.0000e+00
    CON1    LAM  1.0000e+00  1.0000e+00
    CON1    WEU  1.0000e+00  1.0000e+00
    CON1    REU  1.0000e+00  1.0000e+00
    CON1    MNA  1.0000e+00  1.0000e+00
    CON1    AFR  1.0000e+00  1.0000e+00
    CON1    RUS  1.0000e+00  1.0000e+00

       1                LAB         CAP
    CON1    USA  1.0263e+00  1.0436e+00
    CON1    MEX  1.0530e+00  1.0317e+00
    CON1    CAN  1.0234e+00  1.0400e+00
    CON1    OCN  1.0239e+00  1.0501e+00
    CON1    JAP  1.0162e+00  1.0239e+00
    CON1    EAA  1.1132e+00  1.0983e+00
    CON1    SEA  1.0720e+00  1.0237e+00
    CON1    IND  1.1120e+00  1.0743e+00
    CON1    SOA  1.0891e+00  1.0544e+00
    CON1    BRA  1.0120e+00  1.0254e+00
    CON1    LAM  1.0561e+00  1.0378e+00
    CON1    WEU  1.0182e+00  1.0160e+00
    CON1    REU  1.0265e+00  1.0231e+00
    CON1    MNA  1.0509e+00  1.0389e+00
    CON1    AFR  1.0756e+00  1.0195e+00
    CON1    RUS  1.0742e+00  1.1031e+00

       2                LAB         CAP
    CON1    USA  1.0587e+00  1.0882e+00
    CON1    MEX  1.0901e+00  1.0651e+00
    CON1    CAN  1.0503e+00  1.0809e+00
    CON1    OCN  1.0613e+00  1.1013e+00
    CON1    JAP  1.0336e+00  1.0482e+00
    CON1    EAA  1.1971e+00  1.2059e+00
    CON1    SEA  1.1251e+00  1.0490e+00
    CON1    IND  1.1816e+00  1.1559e+00
    CON1    SOA  1.1568e+00  1.1128e+00
    CON1    BRA  1.0320e+00  1.0510e+00
    CON1    LAM  1.0914e+00  1.0777e+00
    CON1    WEU  1.0456e+00  1.0325e+00
    CON1    REU  1.0635e+00  1.0472e+00
    CON1    MNA  1.0926e+00  1.0798e+00
    CON1    AFR  1.1130e+00  1.0409e+00
    CON1    RUS  1.0953e+00  1.2150e+00

       3                LAB         CAP
    CON1    USA  1.0849e+00  1.1342e+00
    CON1    MEX  1.0885e+00  1.0998e+00
    CON1    CAN  1.0937e+00  1.1231e+00
    CON1    OCN  1.0904e+00  1.1543e+00
    CON1    JAP  1.0361e+00  1.0730e+00
    CON1    EAA  1.2918e+00  1.3218e+00
    CON1    SEA  1.1986e+00  1.0756e+00
    CON1    IND  1.2399e+00  1.2432e+00
    CON1    SOA  1.2149e+00  1.1748e+00
    CON1    BRA  1.0546e+00  1.0770e+00
    CON1    LAM  1.1230e+00  1.1191e+00
    CON1    WEU  1.0659e+00  1.0496e+00
    CON1    REU  1.0933e+00  1.0729e+00
    CON1    MNA  1.1345e+00  1.1225e+00
    CON1    AFR  1.1540e+00  1.0632e+00
    CON1    RUS  1.1411e+00  1.3335e+00

       4                LAB         CAP
    CON1    USA  1.1147e+00  1.1810e+00
    CON1    MEX  1.1082e+00  1.1345e+00
    CON1    CAN  1.1264e+00  1.1667e+00
    CON1    OCN  1.1267e+00  1.2087e+00
    CON1    JAP  1.0461e+00  1.0976e+00
    CON1    EAA  1.3923e+00  1.4472e+00
    CON1    SEA  1.2673e+00  1.1036e+00
    CON1    IND  1.3160e+00  1.3358e+00
    CON1    SOA  1.2821e+00  1.2400e+00
    CON1    BRA  1.0734e+00  1.1036e+00
    CON1    LAM  1.1560e+00  1.1618e+00
    CON1    WEU  1.0891e+00  1.0673e+00
    CON1    REU  1.1292e+00  1.0998e+00
    CON1    MNA  1.1777e+00  1.1665e+00
    CON1    AFR  1.1963e+00  1.0865e+00
    CON1    RUS  1.1703e+00  1.4603e+00

       5                LAB         CAP
    CON1    USA  1.1449e+00  1.2291e+00
    CON1    MEX  1.1278e+00  1.1702e+00
    CON1    CAN  1.1587e+00  1.2115e+00
    CON1    OCN  1.1635e+00  1.2651e+00
    CON1    JAP  1.0556e+00  1.1224e+00
    CON1    EAA  1.5103e+00  1.5823e+00
    CON1    SEA  1.3392e+00  1.1332e+00
    CON1    IND  1.4082e+00  1.4341e+00
    CON1    SOA  1.3519e+00  1.3086e+00
    CON1    BRA  1.0911e+00  1.1304e+00
    CON1    LAM  1.1892e+00  1.2057e+00
    CON1    WEU  1.1117e+00  1.0854e+00
    CON1    REU  1.1659e+00  1.1278e+00
    CON1    MNA  1.2213e+00  1.2121e+00
    CON1    AFR  1.2402e+00  1.1108e+00
    CON1    RUS  1.1991e+00  1.5940e+00

       6                LAB         CAP
    CON1    USA  1.1755e+00  1.2784e+00
    CON1    MEX  1.1473e+00  1.2068e+00
    CON1    CAN  1.1901e+00  1.2576e+00
    CON1    OCN  1.2008e+00  1.3233e+00
    CON1    JAP  1.0648e+00  1.1473e+00
    CON1    EAA  1.6218e+00  1.7285e+00
    CON1    SEA  1.4145e+00  1.1645e+00
    CON1    IND  1.4871e+00  1.5390e+00
    CON1    SOA  1.4243e+00  1.3807e+00
    CON1    BRA  1.1077e+00  1.1577e+00
    CON1    LAM  1.2224e+00  1.2509e+00
    CON1    WEU  1.1336e+00  1.1041e+00
    CON1    REU  1.2031e+00  1.1570e+00
    CON1    MNA  1.2653e+00  1.2594e+00
    CON1    AFR  1.2858e+00  1.1362e+00
    CON1    RUS  1.2266e+00  1.7347e+00

       7                LAB         CAP
    CON1    USA  1.2063e+00  1.3288e+00
    CON1    MEX  1.1669e+00  1.2444e+00
    CON1    CAN  1.2205e+00  1.3049e+00
    CON1    OCN  1.2385e+00  1.3834e+00
    CON1    JAP  1.0738e+00  1.1723e+00
    CON1    EAA  1.7370e+00  1.8857e+00
    CON1    SEA  1.4932e+00  1.1975e+00
    CON1    IND  1.5716e+00  1.6502e+00
    CON1    SOA  1.4994e+00  1.4567e+00
    CON1    BRA  1.1235e+00  1.1852e+00
    CON1    LAM  1.2557e+00  1.2972e+00
    CON1    WEU  1.1551e+00  1.1233e+00
    CON1    REU  1.2407e+00  1.1873e+00
    CON1    MNA  1.3095e+00  1.3084e+00
    CON1    AFR  1.3333e+00  1.1626e+00
    CON1    RUS  1.2528e+00  1.8823e+00

       8                LAB         CAP
    CON1    USA  1.2372e+00  1.3805e+00
    CON1    MEX  1.1865e+00  1.2828e+00
    CON1    CAN  1.2498e+00  1.3533e+00
    CON1    OCN  1.2766e+00  1.4454e+00
    CON1    JAP  1.0827e+00  1.1974e+00
    CON1    EAA  1.8674e+00  2.0543e+00
    CON1    SEA  1.5753e+00  1.2323e+00
    CON1    IND  1.6800e+00  1.7679e+00
    CON1    SOA  1.5771e+00  1.5364e+00
    CON1    BRA  1.1384e+00  1.2131e+00
    CON1    LAM  1.2892e+00  1.3449e+00
    CON1    WEU  1.1759e+00  1.1430e+00
    CON1    REU  1.2785e+00  1.2187e+00
    CON1    MNA  1.3539e+00  1.3592e+00
    CON1    AFR  1.3824e+00  1.1902e+00
    CON1    RUS  1.2775e+00  2.0368e+00

       9                LAB         CAP
    CON1    USA  1.2683e+00  1.4334e+00
    CON1    MEX  1.2061e+00  1.3223e+00
    CON1    CAN  1.2781e+00  1.4028e+00
    CON1    OCN  1.3150e+00  1.5092e+00
    CON1    JAP  1.0916e+00  1.2226e+00
    CON1    EAA  2.0199e+00  2.2354e+00
    CON1    SEA  1.6610e+00  1.2689e+00
    CON1    IND  1.7668e+00  1.8934e+00
    CON1    SOA  1.6574e+00  1.6201e+00
    CON1    BRA  1.1527e+00  1.2413e+00
    CON1    LAM  1.3227e+00  1.3938e+00
    CON1    WEU  1.1961e+00  1.1631e+00
    CON1    REU  1.3167e+00  1.2513e+00
    CON1    MNA  1.3985e+00  1.4117e+00
    CON1    AFR  1.4334e+00  1.2189e+00
    CON1    RUS  1.3009e+00  2.1983e+00

      10                LAB         CAP
    CON1    USA  1.2996e+00  1.4875e+00
    CON1    MEX  1.2255e+00  1.3627e+00
    CON1    CAN  1.3057e+00  1.4533e+00
    CON1    OCN  1.3539e+00  1.5751e+00
    CON1    JAP  1.1011e+00  1.2479e+00
    CON1    EAA  2.1680e+00  2.4307e+00
    CON1    SEA  1.7505e+00  1.3075e+00
    CON1    IND  1.8721e+00  2.0257e+00
    CON1    SOA  1.7403e+00  1.7080e+00
    CON1    BRA  1.1664e+00  1.2698e+00
    CON1    LAM  1.3563e+00  1.4440e+00
    CON1    WEU  1.2158e+00  1.1837e+00
    CON1    REU  1.3551e+00  1.2851e+00
    CON1    MNA  1.4434e+00  1.4661e+00
    CON1    AFR  1.4863e+00  1.2489e+00
    CON1    RUS  1.3232e+00  2.3665e+00

      11                LAB         CAP
    CON1    USA  1.3312e+00  1.5428e+00
    CON1    MEX  1.2446e+00  1.4040e+00
    CON1    CAN  1.3326e+00  1.5048e+00
    CON1    OCN  1.3933e+00  1.6428e+00
    CON1    JAP  1.1113e+00  1.2734e+00
    CON1    EAA  2.3245e+00  2.6401e+00
    CON1    SEA  1.8438e+00  1.3481e+00
    CON1    IND  1.9890e+00  2.1658e+00
    CON1    SOA  1.8257e+00  1.8002e+00
    CON1    BRA  1.1798e+00  1.2985e+00
    CON1    LAM  1.3899e+00  1.4955e+00
    CON1    WEU  1.2350e+00  1.2047e+00
    CON1    REU  1.3939e+00  1.3200e+00
    CON1    MNA  1.4885e+00  1.5224e+00
    CON1    AFR  1.5411e+00  1.2801e+00
    CON1    RUS  1.3447e+00  2.5415e+00

      12                LAB         CAP
    CON1    USA  1.3630e+00  1.5993e+00
    CON1    MEX  1.2635e+00  1.4463e+00
    CON1    CAN  1.3591e+00  1.5573e+00
    CON1    OCN  1.4331e+00  1.7125e+00
    CON1    JAP  1.1223e+00  1.2990e+00
    CON1    EAA  2.4740e+00  2.8644e+00
    CON1    SEA  1.9410e+00  1.3908e+00
    CON1    IND  2.0985e+00  2.3145e+00
    CON1    SOA  1.9135e+00  1.8967e+00
    CON1    BRA  1.1928e+00  1.3275e+00
    CON1    LAM  1.4235e+00  1.5482e+00
    CON1    WEU  1.2537e+00  1.2261e+00
    CON1    REU  1.4331e+00  1.3561e+00
    CON1    MNA  1.5340e+00  1.5805e+00
    CON1    AFR  1.5977e+00  1.3125e+00
