     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  9.9906e-01  9.9990e-01  1.0029e+00  1.0009e+00  9.9962e-01  1.0003e+00  1.0006e+00  9.9948e-01  1.0001e+00  9.9979e-01  1.0006e+00  9.9962e-01  1.0000e+00  9.9973e-01  9.9989e-01  9.9949e-01
   LAB  1.0000e+00  9.9935e-01  9.9893e-01  9.9899e-01  9.9969e-01  9.9955e-01  9.9932e-01  9.9884e-01  9.9885e-01  9.9940e-01  9.9891e-01  9.9924e-01  9.9887e-01  9.9892e-01  9.9822e-01  9.9858e-01
   CAP  9.9987e-01  9.9946e-01  9.9789e-01  9.9877e-01  9.9968e-01  9.9935e-01  9.9898e-01  9.9883e-01  9.9920e-01  9.9940e-01  9.9879e-01  9.9925e-01  9.9884e-01  9.9862e-01  9.9806e-01  9.9833e-01
   NAT  9.9510e-01  9.9495e-01  9.9637e-01  9.9228e-01  9.9809e-01  9.9586e-01  9.9536e-01  9.9701e-01  9.9661e-01  9.9560e-01  9.9554e-01  9.9454e-01  9.9438e-01  9.9669e-01  9.9765e-01  9.9652e-01
   AGF  9.9972e-01  9.9941e-01  9.9878e-01  9.9892e-01  9.9953e-01  9.9941e-01  9.9938e-01  9.9901e-01  9.9920e-01  9.9936e-01  9.9909e-01  9.9914e-01  9.9897e-01  9.9884e-01  9.9839e-01  9.9864e-01
   OIL  9.9861e-01  9.9869e-01  9.9785e-01  9.9718e-01  9.9927e-01  9.9842e-01  9.9806e-01  9.9832e-01  9.9846e-01  9.9852e-01  9.9802e-01  9.9797e-01  9.9779e-01  9.9819e-01  9.9806e-01  9.9796e-01
   GAS  9.9959e-01  9.9938e-01  9.9779e-01  9.9762e-01  9.9964e-01  9.9863e-01  9.9834e-01  9.9832e-01  9.9880e-01  9.9899e-01  9.9838e-01  9.9842e-01  9.9874e-01  9.9839e-01  9.9803e-01  9.9819e-01
   COL  9.9873e-01  9.9810e-01  9.9810e-01  9.9716e-01  9.9928e-01  9.9852e-01  9.9805e-01  9.9838e-01  9.9840e-01  9.9853e-01  9.9802e-01  9.9817e-01  9.9794e-01  9.9824e-01  9.9817e-01  9.9813e-01
   PTL  9.9854e-01  9.9893e-01  9.9809e-01  9.9780e-01  9.9841e-01  9.9844e-01  9.9825e-01  9.9831e-01  9.9846e-01  9.9868e-01  9.9822e-01  9.9825e-01  9.9816e-01  9.9827e-01  9.9818e-01  9.9804e-01
   MAN  9.9981e-01  9.9945e-01  9.9885e-01  9.9887e-01  9.9959e-01  9.9934e-01  9.9919e-01  9.9885e-01  9.9910e-01  9.9932e-01  9.9895e-01  9.9919e-01  9.9893e-01  9.9881e-01  9.9837e-01  9.9856e-01
   CHM  9.9973e-01  9.9941e-01  9.9870e-01  9.9891e-01  9.9949e-01  9.9921e-01  9.9909e-01  9.9875e-01  9.9895e-01  9.9924e-01  9.9887e-01  9.9914e-01  9.9884e-01  9.9867e-01  9.9837e-01  9.9842e-01
   CEM  9.9982e-01  9.9942e-01  9.9869e-01  9.9884e-01  9.9958e-01  9.9926e-01  9.9901e-01  9.9882e-01  9.9895e-01  9.9927e-01  9.9886e-01  9.9915e-01  9.9886e-01  9.9875e-01  9.9832e-01  9.9846e-01
   STL  9.9978e-01  9.9937e-01  9.9880e-01  9.9884e-01  9.9951e-01  9.9924e-01  9.9903e-01  9.9878e-01  9.9886e-01  9.9925e-01  9.9883e-01  9.9913e-01  9.9882e-01  9.9874e-01  9.9832e-01  9.9843e-01
   NFM  9.9972e-01  9.9940e-01  9.9880e-01  9.9879e-01  9.9948e-01  9.9925e-01  9.9913e-01  9.9882e-01  9.9897e-01  9.9923e-01  9.9887e-01  9.9915e-01  9.9889e-01  9.9878e-01  9.9828e-01  9.9846e-01
   ELC  9.9964e-01  9.9911e-01  9.9827e-01  9.9854e-01  9.9946e-01  9.9901e-01  9.9871e-01  9.9871e-01  9.9888e-01  9.9933e-01  9.9867e-01  9.9908e-01  9.9874e-01  9.9847e-01  9.9823e-01  9.9824e-01
   WND  9.9987e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   SLR  9.9987e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   NUC  9.9985e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   HYD  9.9988e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   CFP  9.9938e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   BGA  9.9975e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   PGA  9.9971e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   POI  9.9872e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   TRN  9.9987e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   TRL  9.9967e-01  9.9927e-01  9.9849e-01  9.9876e-01  9.9955e-01  9.9928e-01  9.9891e-01  9.9877e-01  9.9892e-01  9.9903e-01  9.9875e-01  9.9905e-01  9.9878e-01  9.9863e-01  9.9826e-01  9.9840e-01
   TRA  9.9953e-01  9.9943e-01  9.9860e-01  9.9867e-01  9.9950e-01  9.9923e-01  9.9886e-01  9.9876e-01  9.9888e-01  9.9903e-01  9.9876e-01  9.9897e-01  9.9877e-01  9.9871e-01  9.9834e-01  9.9842e-01
   TRS  9.9977e-01  9.9908e-01  9.9858e-01  9.9883e-01  9.9947e-01  9.9917e-01  9.9896e-01  9.9876e-01  9.9893e-01  9.9903e-01  9.9884e-01  9.9902e-01  9.9882e-01  9.9862e-01  9.9833e-01  9.9847e-01
   OTS  9.9990e-01  9.9943e-01  9.9863e-01  9.9890e-01  9.9965e-01  9.9937e-01  9.9912e-01  9.9885e-01  9.9903e-01  9.9937e-01  9.9887e-01  9.9922e-01  9.9889e-01  9.9876e-01  9.9825e-01  9.9846e-01
   GOV  9.9993e-01  9.9937e-01  9.9880e-01  9.9895e-01  9.9965e-01  9.9942e-01  9.9922e-01  9.9884e-01  9.9894e-01  9.9938e-01  9.9890e-01  9.9922e-01  9.9889e-01  9.9882e-01  9.9830e-01  9.9854e-01
   INV  9.9979e-01  9.9944e-01  9.9887e-01  9.9897e-01  9.9961e-01  9.9936e-01  9.9920e-01  9.9889e-01  9.9908e-01  9.9936e-01  9.9899e-01  9.9921e-01  9.9899e-01  9.9892e-01  9.9858e-01  9.9865e-01
 AGF_I  9.9906e-01  9.9951e-01  9.9952e-01  9.9912e-01  9.9928e-01  9.9926e-01  9.9920e-01  9.9902e-01  9.9902e-01  9.9914e-01  9.9932e-01  9.9910e-01  9.9907e-01  9.9914e-01  9.9901e-01  9.9909e-01
 OIL_I  9.9820e-01  0.0000e+00  9.9812e-01  9.9801e-01  9.9822e-01  9.9817e-01  9.9818e-01  9.9822e-01  9.9819e-01  9.9816e-01  9.9815e-01  9.9810e-01  9.9802e-01  9.9818e-01  9.9819e-01  9.9801e-01
 GAS_I  9.9790e-01  9.9953e-01  9.9949e-01  9.9822e-01  9.9831e-01  9.9838e-01  9.9837e-01  0.0000e+00  0.0000e+00  9.9840e-01  9.9834e-01  9.9836e-01  9.9823e-01  9.9837e-01  9.9828e-01  9.9823e-01
 COL_I  9.9818e-01  9.9785e-01  9.9867e-01  9.9797e-01  9.9789e-01  9.9805e-01  9.9813e-01  9.9779e-01  9.9814e-01  9.9816e-01  9.9800e-01  9.9817e-01  9.9818e-01  9.9829e-01  9.9790e-01  9.9832e-01
 PTL_I  9.9830e-01  9.9854e-01  9.9847e-01  9.9835e-01  9.9837e-01  9.9835e-01  9.9837e-01  9.9835e-01  9.9832e-01  9.9839e-01  9.9840e-01  9.9828e-01  9.9825e-01  9.9831e-01  9.9832e-01  9.9820e-01
 MAN_I  9.9922e-01  9.9956e-01  9.9962e-01  9.9930e-01  9.9930e-01  9.9936e-01  9.9934e-01  9.9922e-01  9.9922e-01  9.9934e-01  9.9935e-01  9.9921e-01  9.9915e-01  9.9920e-01  9.9914e-01  9.9914e-01
 CHM_I  9.9908e-01  9.9953e-01  9.9954e-01  9.9920e-01  9.9925e-01  9.9925e-01  9.9920e-01  9.9909e-01  9.9904e-01  9.9919e-01  9.9924e-01  9.9917e-01  9.9905e-01  9.9908e-01  9.9897e-01  9.9903e-01
